$ C:/Python34/python.exe montecarlo.py
[100]#101 | Score: 1278 | Highest tile: 96 | Moves: 60
[100]#102 | Score: 555 | Highest tile: 48 | Moves: 31
[100]#103 | Score: 141 | Highest tile: 24 | Moves: 24
[100]#104 | Score: 1158 | Highest tile: 96 | Moves: 71
[100]#105 | Score: 1182 | Highest tile: 96 | Moves: 49
[100]#106 | Score: 3459 | Highest tile: 192 | Moves: 102
[100]#107 | Score: 93 | Highest tile: 24 | Moves: 18
[100]#108 | Score: 414 | Highest tile: 48 | Moves: 39
[100]#109 | Score: 3324 | Highest tile: 192 | Moves: 99
[100]#110 | Score: 1359 | Highest tile: 96 | Moves: 55
[100]#111 | Score: 1071 | Highest tile: 96 | Moves: 64
[100]#112 | Score: 5187 | Highest tile: 192 | Moves: 73
[100]#113 | Score: 1074 | Highest tile: 96 | Moves: 78
[100]#114 | Score: 2394 | Highest tile: 192 | Moves: 84
[100]#115 | Score: 1110 | Highest tile: 96 | Moves: 67
[100]#116 | Score: 1662 | Highest tile: 96 | Moves: 51
[100]#117 | Score: 1584 | Highest tile: 96 | Moves: 67
[100]#118 | Score: 3462 | Highest tile: 192 | Moves: 82
[100]#119 | Score: 153 | Highest tile: 24 | Moves: 17
[100]#120 | Score: 6639 | Highest tile: 384 | Moves: 135
[100]#121 | Score: 846 | Highest tile: 96 | Moves: 52
[100]#122 | Score: 1191 | Highest tile: 96 | Moves: 55
[100]#123 | Score: 1113 | Highest tile: 96 | Moves: 72
[100]#124 | Score: 2319 | Highest tile: 192 | Moves: 64
[100]#125 | Score: 384 | Highest tile: 48 | Moves: 47
[100]#126 | Score: 2910 | Highest tile: 192 | Moves: 99
[100]#127 | Score: 1257 | Highest tile: 96 | Moves: 70
[100]#128 | Score: 2910 | Highest tile: 192 | Moves: 86
[100]#129 | Score: 2976 | Highest tile: 192 | Moves: 74
[100]#130 | Score: 984 | Highest tile: 96 | Moves: 53
[100]#131 | Score: 2382 | Highest tile: 192 | Moves: 61
[100]#132 | Score: 2790 | Highest tile: 192 | Moves: 72
[100]#133 | Score: 3318 | Highest tile: 192 | Moves: 124
[100]#134 | Score: 393 | Highest tile: 48 | Moves: 42
[100]#135 | Score: 7206 | Highest tile: 384 | Moves: 129
[100]#136 | Score: 2565 | Highest tile: 192 | Moves: 83
[100]#137 | Score: 1137 | Highest tile: 96 | Moves: 54
[100]#138 | Score: 300 | Highest tile: 48 | Moves: 30
[100]#139 | Score: 7677 | Highest tile: 384 | Moves: 112
[100]#140 | Score: 897 | Highest tile: 96 | Moves: 46
[100]#141 | Score: 435 | Highest tile: 48 | Moves: 46
[100]#142 | Score: 339 | Highest tile: 48 | Moves: 34
[100]#143 | Score: 1113 | Highest tile: 96 | Moves: 64
[100]#144 | Score: 1266 | Highest tile: 96 | Moves: 50
[100]#145 | Score: 11970 | Highest tile: 384 | Moves: 143
[100]#146 | Score: 1491 | Highest tile: 96 | Moves: 53
[100]#147 | Score: 882 | Highest tile: 96 | Moves: 47
[100]#148 | Score: 1017 | Highest tile: 96 | Moves: 63
[100]#149 | Score: 1341 | Highest tile: 96 | Moves: 60
[100]#150 | Score: 390 | Highest tile: 48 | Moves: 38
[100] Time taken: 1616.771 seconds True
[500]#151 | Score: 1182 | Highest tile: 96 | Moves: 58
[500]#152 | Score: 3219 | Highest tile: 192 | Moves: 67
[500]#153 | Score: 2577 | Highest tile: 192 | Moves: 78
[500]#154 | Score: 3933 | Highest tile: 192 | Moves: 95
[500]#155 | Score: 1101 | Highest tile: 96 | Moves: 77
[500]#156 | Score: 3198 | Highest tile: 192 | Moves: 67
[500]#157 | Score: 1077 | Highest tile: 96 | Moves: 59
[500]#158 | Score: 1191 | Highest tile: 96 | Moves: 93
[500]#159 | Score: 3303 | Highest tile: 192 | Moves: 117
[500]#160 | Score: 3411 | Highest tile: 192 | Moves: 106
[500] Time taken: 2039.281 seconds True
[1000]#161 | Score: 1320 | Highest tile: 96 | Moves: 47
[1000]#162 | Score: 1137 | Highest tile: 96 | Moves: 72
[1000]#163 | Score: 6960 | Highest tile: 384 | Moves: 114
[1000]#164 | Score: 3303 | Highest tile: 192 | Moves: 96
[1000]#165 | Score: 3306 | Highest tile: 192 | Moves: 102
[1000]#6   | Score: 10179| Highest tile: 384 | Moves: 195
[1000] Time taken: 1984.145 seconds True
[5000]#166 | Score: 2688 | Highest tile: 192 | Moves: 84
[5000] Time taken: 2234.543 seconds True
alloc: invalid block: 0C18E5B0: e8 c
